                  Ca                  Cl                   K                   N                  Na
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00119999999999998 0.00099999999999998
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
 0.00000000000000000 0.00000000000000000 0.00020000000000000 0.00120000000000000 0.00100000000000000
